Price in Rupees,Company,series,color,Full HD,HD,ScreenSize(in cm),FWVGA,Other Displays,RAM,ROM,Expandable,Battery(in mAh),Brand,Model,Main_Camera_MP,Front_Camera_MP,Main_Camera_Count,Front_Camera_Count
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
8999.0,Lenovo,K9,Gold,0,1,15.21,0,0,4.0,64.0,256.0,3760.0,Qualcomm,SDM450,6,8,3,1
6999.0,Lenovo,A5,Black,0,1,13.84,0,0,3.0,32.0,256.0,4000.0,MediaTek,MT6739,3,8,2,1
49900.0,Apple,iPhone,Blue,0,0,15.49,0,1,3.0,32.0,128.0,3050.0,Apple,Apple,2,7,2,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
9899.0,Redmi,Note,Rose Gold,1,1,15.21,0,0,4.0,64.0,128.0,4000.0,Qualcomm,625,2,5,2,1
13990.0,Samsung,Galaxy,Blue,1,1,16.26,0,0,4.0,64.0,512.0,4000.0,Exynos,7904,6,6,3,1
13999.0,Redmi,Note,Black,1,1,15.9,0,0,6.0,64.0,256.0,4000.0,Qualcomm,636,2,0,4,0
15490.0,OPPO,A9,Marble Green,1,1,16.59,0,0,4.0,128.0,256.0,4020.0,MTK,MTK,6,6,3,1
15490.0,OPPO,A9,Fluorite Purple,1,1,16.59,0,0,4.0,128.0,256.0,4020.0,MTK,MTK,6,6,3,1
4999.0,Kult,Impulse,Blue,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
28999.0,Samsung,Galaxy,Prism Crush White,1,1,17.02,0,0,6.0,128.0,512.0,4500.0,Qualcomm,SM6150,4,2,4,1
10999.0,Redmi,Y2,Black,0,1,15.21,0,0,4.0,64.0,256.0,3080.0,Qualcomm,625,2,6,3,1
8499.0,Realme,C1,Mirror Black,0,1,15.75,0,0,3.0,32.0,256.0,4230.0,Qualcomm,GHz,3,5,3,1
3899.0,Karbonn,Aura,Champagne,0,0,12.7,0,1,1.0,16.0,32.0,4000.0,Mediatek,Mediatek,5,5,2,1
7927.0,Nokia,3.1,Charcoal,0,0,15.24,0,1,3.0,32.0,128.0,3500.0,Mediatek,P22,3,0,1,0
4633.0,Gionee,F205,Black,0,1,13.84,0,0,2.0,16.0,256.0,2670.0,MediaTek,MT6739,8,5,2,1
13999.0,Redmi,Note,Red,1,1,15.21,0,0,6.0,64.0,128.0,4000.0,Qualcomm,636,2,0,3,1
4749.0,Micromax,Bharat,Matte Blue,0,0,13.84,0,1,1.0,16.0,32.0,5000.0,Micromax,MT6739,5,5,2,1
49900.0,Apple,iPhone,Yellow,0,0,15.49,0,1,3.0,32.0,128.0,3050.0,Apple,Apple,2,7,2,1
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
7990.0,Samsung,Galaxy,Gold,0,1,15.75,0,0,2.0,32.0,512.0,3400.0,Exynos,7884,3,5,2,1
6899.0,OPPO,A83,Red,0,1,14.48,0,0,2.0,16.0,256.0,3180.0,OPPO,MT6763T,3,8,2,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
28999.0,Samsung,Galaxy,Prism Crush Red,1,1,17.02,0,0,6.0,128.0,512.0,4500.0,Qualcomm,SM6150,4,2,4,1
17999.0,POCO,F1,Rosso Red,1,1,15.7,0,0,6.0,64.0,256.0,4000.0,Qualcomm,845,2,0,3,1
6060.0,Lava,Z62,Space Blue,0,0,15.24,0,1,2.0,16.0,256.0,3380.0,MTK,6761,8,5,2,1
4999.0,Kult,Impulse,Blue,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
11499.0,Panasonic,Eluga,Gold,1,1,13.21,0,0,4.0,32.0,128.0,3000.0,Qualcomm,4GHz,6,8,2,1
8499.0,Redmi,6,Rose Gold,0,1,13.84,0,0,3.0,64.0,256.0,3000.0,Mediatek,Octacore,2,5,3,1
3899.0,Karbonn,Aura,Champagne,0,0,12.7,0,1,1.0,16.0,32.0,4000.0,Mediatek,Mediatek,5,5,2,1
10999.0,Redmi,Note,Blue,1,1,15.21,0,0,3.0,32.0,128.0,4000.0,Qualcomm,625,2,5,2,1
8999.0,Asus,Zenfone,Grey,1,1,15.21,0,0,3.0,32.0,128.0,5000.0,Qualcomm,Core,3,8,3,1
